time,mcs,prb_dl,throughput_mbps,bler,msg_rate,bytes
1776672145,10,5,0.00,0.000,0,0
1776672147,9,6036,10.71,0.010,10,1920
1776672148,8,6442,10.84,0.010,10,1920
1776672148,7,7365,10.84,0.010,10,1920
1776672148,6,7790,10.71,0.010,10,1920
1776672149,5,9240,10.72,0.010,10,1920
1776672149,4,11219,10.86,0.010,10,1920
1776672150,3,13633,10.75,0.010,10,1920
1776672150,4,16937,10.78,0.010,10,1920
1776672150,3,13585,10.75,0.010,10,1920
1776672151,4,16876,10.75,0.010,10,1920
1776672151,3,13993,10.83,0.010,11,2112
1776672152,4,16999,10.78,0.010,11,2112
1776672152,3,14048,10.75,0.010,11,2112
1776672152,4,17021,10.80,0.010,11,2112
1776672153,3,14077,10.75,0.010,11,2112
1776672153,4,16871,10.76,0.010,10,1920
1776672154,3,13672,10.84,0.010,10,1920
1776672154,4,17009,10.83,0.010,10,1920
1776672154,3,13872,10.75,0.010,10,1920
1776672155,4,16631,10.80,0.010,10,1920
1776672155,3,13663,10.84,0.010,11,2112
1776672156,4,16952,10.76,0.010,11,2112
1776672156,3,13465,10.75,0.010,11,2112
1776672157,4,17240,10.80,0.010,11,2112
1776672157,3,13438,10.68,0.010,11,2112
1776672158,4,17201,10.83,0.010,11,2112
1776672158,3,13572,10.75,0.010,11,2112
1776672158,4,16931,10.76,0.010,11,2112
1776672159,3,13718,10.75,0.010,11,2112
1776672159,4,16830,10.76,0.010,11,2112
1776672160,3,13923,10.75,0.010,11,2112
1776672160,4,17025,10.76,0.010,11,2112
1776672160,3,13546,10.78,0.010,11,2112
1776672161,4,17257,10.83,0.010,10,1920
1776672161,3,13250,10.75,0.010,10,1920
1776672162,4,16346,10.78,0.010,10,1920
1776672162,3,13798,10.84,0.010,11,2112
1776672162,4,16878,10.76,0.010,11,2112
1776672163,3,13573,10.78,0.010,11,2112
1776672163,4,16734,10.83,0.010,11,2112
1776672164,3,13423,10.75,0.010,11,2112
1776672164,4,16292,10.75,0.010,10,1920
1776672164,3,13742,10.77,0.010,10,1920
1776672165,4,16739,10.75,0.010,10,1920
1776672165,3,13785,10.80,0.010,11,2112
1776672166,4,16818,10.76,0.010,11,2112
1776672166,3,13499,10.75,0.010,10,1920
1776672166,4,17224,10.80,0.010,10,1920
1776672167,3,13976,10.84,0.010,10,1920
1776672167,4,16644,10.85,0.010,11,2112
1776672168,3,13540,10.75,0.010,11,2112
1776672168,4,16705,10.75,0.010,11,2112
1776672168,3,13233,10.77,0.010,11,2112
1776672169,4,17171,10.84,0.010,11,2112
1776672169,3,13888,10.71,0.010,11,2112
1776672170,4,16763,10.75,0.010,11,2112
1776672170,3,13884,10.87,0.010,11,2112
1776672170,4,16497,10.75,0.010,10,1920
1776672171,3,13787,10.78,0.010,10,1920
1776672171,4,16980,10.83,0.010,10,1920
1776672172,3,13664,10.75,0.010,11,2112
1776672172,4,16779,10.73,0.010,11,2112
1776672172,3,13430,10.66,0.010,10,1920
1776672173,4,16752,10.76,0.010,10,1920
1776672173,3,13391,10.83,0.010,10,1920
1776672174,4,16889,10.86,0.010,11,2112
1776672174,3,13687,10.75,0.010,11,2112
1776672174,4,17137,10.76,0.010,11,2112
1776672175,3,13983,10.84,0.010,11,2112
1776672175,4,17001,10.76,0.010,11,2112
1776672176,3,13997,10.72,0.010,11,2112
1776672176,4,16825,10.76,0.010,11,2112
1776672176,3,13713,10.84,0.010,11,2112
1776672177,4,16800,10.74,0.010,11,2112
1776672177,3,13571,10.84,0.010,11,2112
1776672178,4,16946,10.76,0.010,11,2112
1776672178,3,13906,10.87,0.010,10,1920
1776672178,4,16352,10.82,0.010,10,1920
1776672179,3,13968,10.75,0.010,11,2112
1776672179,4,16822,10.71,0.010,11,2112
1776672180,3,13554,10.75,0.010,11,2112
1776672180,4,16946,10.76,0.010,10,1920
1776672180,3,14154,10.78,0.010,10,1920
1776672181,4,17171,10.76,0.010,10,1920
1776672181,3,14148,10.84,0.010,10,1920
1776672182,4,16920,10.78,0.010,10,1920
1776672182,3,13499,10.68,0.010,11,2112
1776672182,4,16926,10.78,0.010,11,2112
1776672183,3,13578,10.75,0.010,11,2112
1776672183,4,16517,10.83,0.010,10,1920
1776672184,3,13214,10.77,0.010,10,1920
1776672184,4,16763,10.70,0.010,11,2112
1776672184,3,13567,10.75,0.010,11,2112
1776672185,4,17488,10.76,0.010,11,2112
1776672185,3,13593,10.77,0.010,10,1920
1776672186,4,16760,10.75,0.010,10,1920
1776672186,3,13724,10.75,0.010,10,1920
1776672186,4,16629,10.75,0.010,11,2112
1776672187,3,13838,10.75,0.010,11,2112
1776672187,4,16555,10.75,0.010,11,2112
1776672188,3,13782,10.78,0.010,11,2112
1776672188,4,16906,10.80,0.010,11,2112
1776672188,3,13521,10.78,0.010,11,2112
1776672189,4,17105,10.85,0.010,11,2112
1776672189,3,13632,10.84,0.010,11,2112
1776672190,4,17133,10.78,0.010,10,1920
1776672190,3,13716,10.69,0.010,10,1920
1776672190,4,16558,10.75,0.010,11,2112
1776672191,3,13745,10.69,0.010,11,2112
1776672191,4,16694,10.75,0.010,11,2112
1776672192,3,13683,10.75,0.010,11,2112
1776672192,4,16879,10.80,0.010,11,2112
1776672192,3,13506,10.84,0.010,11,2112
1776672193,4,16674,10.92,0.010,10,1920
1776672193,3,13397,10.75,0.010,10,1920
1776672194,4,16630,10.75,0.010,11,2112
1776672194,3,13523,10.75,0.010,11,2112
1776672194,4,17160,10.80,0.010,11,2112
1776672195,3,13625,10.75,0.010,10,1920
1776672195,4,16891,10.76,0.010,10,1920
1776672196,3,13739,10.75,0.010,10,1920
1776672196,4,16930,10.83,0.010,11,2112
1776672196,3,14105,10.75,0.010,11,2112
1776672197,4,16724,10.78,0.010,10,1920
1776672197,3,13997,10.84,0.010,10,1920
1776672198,4,16687,10.75,0.010,10,1920
1776672198,3,13847,10.78,0.010,10,1920
1776672198,4,16950,10.76,0.010,10,1920
1776672199,3,14147,10.78,0.010,11,2112
1776672199,4,16908,10.80,0.010,11,2112
1776672200,3,13894,10.75,0.010,11,2112
1776672200,4,16832,10.76,0.010,11,2112
1776672200,3,14160,10.87,0.010,11,2112
1776672201,4,16891,10.75,0.010,11,2112
1776672201,3,13628,10.75,0.010,10,1920
1776672202,4,17332,10.86,0.010,10,1920
1776672202,3,13624,10.75,0.010,11,2112
1776672202,4,16501,10.75,0.010,11,2112
1776672203,3,13514,10.72,0.010,11,2112
1776672203,4,16756,10.75,0.010,11,2112
1776672204,3,13526,10.81,0.010,11,2112
1776672204,4,16837,10.78,0.010,11,2112
1776672204,3,13468,10.80,0.010,11,2112
1776672205,4,17212,10.80,0.010,11,2112
1776672205,3,13707,10.75,0.010,11,2112
1776672206,4,16808,10.75,0.010,11,2112
1776672206,3,13813,10.75,0.010,10,1920
1776672207,4,16804,10.75,0.010,10,1920
1776672207,3,13673,10.72,0.010,10,1920
1776672208,4,16743,10.76,0.010,11,2112
1776672208,3,13958,10.75,0.010,11,2112
1776672208,4,17385,10.88,0.010,10,1920
1776672209,3,13862,10.84,0.010,10,1920
